,solarSystemID,solarSystemName
310,30000311,BR-6XP
311,30000312,8-TFDX
312,30000313,UL-4ZW
313,30000314,A-QRQT
314,30000315,WMBZ-U
315,30000316,PX5-LR
316,30000317,A3-RQ3
317,30000318,9-GBPD
318,30000319,LS-JEP
319,30000320,R-RSZZ
320,30000321,MGAM-4
321,30000322,VORM-W
322,30000323,7G-H7D
323,30000324,Q3-BAY
324,30000325,JZV-F4
325,30000326,WF-1LM
326,30000327,D95-FQ
327,30000328,ZSPJ-K
328,30000329,U1F-86
329,30000330,T-P7A6
330,30000331,Y-T3JJ
331,30000332,F3R-IA
332,30000333,74-YTJ
333,30000334,8-RS3U
334,30000335,OVFN-N
335,30000336,1Q-BBM
336,30000337,WXNC-N
337,30000338,G-EA07
338,30000339,X-L6BO
339,30000340,D-PHUA
340,30000341,3-HXHQ
341,30000342,18A-NB
342,30000343,3-J5OQ
343,30000344,GYF-GD
344,30000345,W-6TS9
345,30000346,VIG-VR
346,30000347,KX-P5C
347,30000348,N-FJBK
348,30000349,2-4ZT5
349,30000350,NVN-6F
350,30000351,09-8TH
351,30000352,TI0-AX
352,30000353,7O-POM
353,30000354,L6Q-SX
354,30000355,BFJ-TB
355,30000356,ZZ7-L6
356,30000357,L-CHVW
357,30000358,X0LN-U
358,30000359,RQAE-M
359,30000360,7CO-SA
360,30000361,4G-E5A
361,30000362,A-VWK9
362,30000363,JQHP-4
363,30000364,6Q5K-5
364,30000365,P-MVFP
365,30000366,J-Z1UW
366,30000367,W477-P
367,30000368,NQ1-BL
368,30000369,K7A-G8
369,30000370,HP-PMX
370,30000371,6BN-K9
371,30000372,WLE-PY
372,30000373,EH-HXW
373,30000374,OS-RR3
374,30000375,V4-GZL
375,30000376,4C-Z91
376,30000377,RU-97T
377,30000378,1S-1V7
378,30000379,PE1-R1
379,30000380,Polaris
380,30000381,JB-007
381,30000382,USJ2-M
382,30000383,7M-RAL
383,30000384,LPBU-U
384,30000385,RF-342
385,30000386,J2V-XY
386,30000387,Z-JBTR
387,30000388,S-QNXH
388,30000389,S94-X8
389,30000390,J-YQEC
390,30000391,8MX-OR
391,30000392,97YC-C
392,30000393,V-AMD5
393,30000394,U-JC8X
394,30000395,1HH3-E
395,30000396,DUIU-Q
396,30000397,LQH0-H
397,30000398,FRW3-2
398,30000399,9MX-1C
399,30000400,IED-4U
400,30000401,N-9EOQ
401,30000402,6F3-TK
402,30000403,2E0P-2
403,30000404,U-ITH5
404,30000405,N-4G5L
405,30000406,RB-2EA
406,30000407,ZK5-42
407,30000408,YRZ-E4
408,30000409,A3-PAT
409,30000410,H55-2R
410,30000411,P6-DBM
411,30000412,9XI-0X
412,30000413,Q8T-MC
413,30000414,Z-YOJ9
414,30000415,4T4B-L
415,30000416,F-JB3H
416,30000417,XBO7-F
417,30000418,FI-449
418,30000419,UA7-U4
419,30000420,VM-QFU
420,30000421,PU-1Z8
421,30000422,IEZW-V
422,30000423,B-DXO9
423,30000424,1TS-WN
424,30000425,16-31U
425,30000426,H472-N
426,30000427,U8MM-3
427,30000428,3C-26I
428,30000429,9K-VDI
429,30000430,L-SDU7
430,30000431,4-IPWK
431,30000432,Q-KCK3
432,30000433,WU-FHQ
433,30000434,V-4DBR
434,30000435,B-5UFY
435,30000436,SK42-F
436,30000437,EU9-J3
437,30000438,PQRE-W
438,30000439,OEG-K9
439,30000440,0-W778
440,30000441,DG-8VJ
441,30000442,5J4K-9
442,30000443,MD-0AW
443,30000444,H-FGJO
444,30000445,1KAW-T
445,30000446,C5-SUU
446,30000447,XSUD-1
447,30000448,3-LJW3
448,30000449,ZLO3-V
449,30000450,P7MI-T
450,30000451,JFV-ID
451,30000452,3-3EZB
452,30000453,52CW-6
453,30000454,9-OUGJ
454,30000455,4NDT-W
455,30000456,GR-X26
456,30000457,6OU9-U
457,30000458,9N-0HF
458,30000459,U-OVFR
459,30000460,G3D-ZT
460,30000461,D-0UI0
461,30000462,L8-WNE
462,30000463,1-GBVE
463,30000464,GC-LTF
464,30000465,NB-ALM
465,30000466,LT-XI4
466,30000467,L-QQ6P
467,30000468,5OJ-G2
468,30000469,9-02G0
469,30000470,XA5-TY
470,30000471,M-XUZZ
471,30000472,OFVH-Y
472,30000473,2-X0PF
473,30000474,1-PGSG
474,30000475,QLPX-J
475,30000476,A-C5TC
476,30000477,RZ-PIY
477,30000478,FR46-E
478,30000479,SLVP-D
479,30000480,0-G8NO
480,30000481,QRFJ-Q
481,30000482,HZFJ-M
482,30000483,77S8-E
483,30000484,FMH-OV
484,30000485,TYB-69
485,30000486,EDQG-L
486,30000487,7-P1JO
487,30000488,T-0JWP
488,30000489,J-L9MA
489,30000490,DX-TAR
490,30000491,A-7XFN
491,30000492,O3-4MN
492,30000493,U-MFTL
493,30000494,8FN-GP
494,30000495,FIDY-8
495,30000496,X40H-9
496,30000497,F2W-C6
497,30000498,KZ9T-C
498,30000499,XW2H-V
499,30000500,F9O-U9
500,30000501,S-51XG
501,30000502,E-1XVP
502,30000503,E-ACV6
503,30000504,BOZ1-O
504,30000505,QIMO-2
505,30000506,Z-2Y2Y
506,30000507,Q0J-RH
507,30000508,SAI-T9
508,30000509,IAS-I5
509,30000510,K7S-FF
510,30000511,RT-9WL
511,30000512,O5Q7-U
512,30000513,62O-UE
513,30000514,U0W-DR
514,30000515,SY-UWN
515,30000516,DX-DFJ
516,30000517,X-31TE
517,30000518,DVWV-3
518,30000519,KE-0FB
519,30000520,I-9GI1
520,30000521,W6P-7U
521,30000522,0IF-26
522,30000523,H-93YV
523,30000524,E51-JE
524,30000525,7-A6XV
525,30000526,QXE-1N
526,30000527,U69-YC
527,30000528,L-L7PE
528,30000529,MKIG-5
529,30000530,YHEN-G
530,30000531,E-JCUS
531,30000532,W-QN5X
532,30000533,LP1M-Q
533,30000534,30-YOU
534,30000535,384-IN
535,30000536,4F89-U
536,30000537,G063-U
537,30000538,J7-BDX
538,30000539,MLQ-O9
539,30000540,L-FM3P
540,30000541,X-ARMF
541,30000542,8-OZU1
542,30000543,0TYR-T
543,30000544,GM-50Y
544,30000545,G9L-LP
545,30000546,MWA-5Q
546,30000547,H-HHTH
547,30000548,JQU-KY
548,30000549,UY5A-D
549,30000550,C-62I5
550,30000551,ZH-GKG
551,30000552,GPLB-C
552,30000553,GGE-5Q
553,30000554,5E-CMA
554,30000555,U104-3
555,30000556,M3-KAQ
556,30000557,6-L4YC
557,30000558,UM-SCG
558,30000559,F-3FOY
559,30000560,OAIG-0
560,30000561,UZ-QXW
561,30000562,5DE-QS
562,30000563,R0-DMM
563,30000564,5Q65-4
564,30000565,SR-4EK
565,30000566,0RI-OV
566,30000567,C-LTXS
567,30000568,C0O6-K
568,30000569,HD-AJ7
569,30000570,G9NE-B
570,30000571,SJJ-4F
571,30000572,F-QQ5N
572,30000573,1-7B6D
573,30000574,H6-EYX
574,30000575,U-HVIX
575,30000576,4-EFLU
576,30000577,EIH-IU
577,30000578,F-EM4Q
578,30000579,1L-OEK
579,30000580,MN-Q26
580,30000581,5H-SM2
581,30000582,4-OS2A
582,30000583,YI-GV6
583,30000584,SO-X5L
584,30000585,XQS-GZ
585,30000586,Q-GQHN
586,30000587,A-4JOO
587,30000588,TP7-KE
588,30000589,R4N-LD
589,30000590,3Q-VZA
590,30000591,M-MBRT
591,30000592,HPBE-D
592,30000593,GRHS-B
593,30000594,J-RXYN
594,30000595,DUO-51
595,30000596,07-SLO
596,30000597,Z-A8FS
597,30000598,GPD5-0
598,30000599,LKZ-CY
599,30000600,F5M-CC
600,30000601,TZE-UB
601,30000602,WRL4-2
602,30000603,V7G-RL
603,30000604,XEN7-0
604,30000605,L-Z9KJ
605,30000606,7K-NSE
606,30000607,OR-7N5
607,30000608,JEQG-7
608,30000609,5NQI-E
609,30000610,B-WQDP
610,30000611,2-2EWC
611,30000612,E1W-TB
612,30000613,D-6H64
613,30000614,8-BIE3
614,30000615,LMM7-L
615,30000616,995-3G
616,30000617,W2T-TR
617,30000618,Q-UEN6
618,30000619,BLMX-B
619,30000620,M-CNUD
620,30000621,YE1-9S
621,30000622,IVP-KA
622,30000623,04EI-U
623,30000624,B-T6BT
624,30000625,VK-A5G
625,30000626,I6-SYN
626,30000627,O-5TN1
627,30000628,8-SPNN
628,30000629,U-QMOA
629,30000630,4S0-NP
630,30000631,K-RMI5
631,30000632,C-6YHJ
632,30000633,M53-1V
633,30000634,E5T-CS
634,30000635,W4C8-Q
635,30000636,I-2705
636,30000637,5F-MG1
637,30000638,P7-45V
638,30000639,M-MCP8
639,30000640,JZ-B5Y
640,30000641,TPG-DD
641,30000642,NIF-JE
642,30000643,BTLH-I
643,30000644,U93O-A
644,30000645,0LY-W1
645,30000646,4YO-QK
646,30000647,LJ-RJK
647,30000648,8-VC6H
648,30000649,LQ-01M
649,30000650,NG-M8K
650,30000651,RV5-TT
651,30000652,8OYE-Z
652,30000653,K85Y-6
653,30000654,PKN-NJ
654,30000655,EIN-QG
655,30000656,ARG-3R
656,30000657,S-E6ES
657,30000658,R-3FBU
658,30000659,K7-LDX
659,30000660,U-IVGH
660,30000661,P-N5N9
661,30000662,JMH-PT
662,30000663,DE-A7P
663,30000664,X9V-15
664,30000665,K212-A
665,30000666,F-5FDA
666,30000667,S1-XTL
667,30000668,9PX2-F
668,30000669,N3-JBX
669,30000670,SG-75T
670,30000671,GN-PDU
671,30000672,AZ3F-N
672,30000673,RNM-Y6
673,30000674,V-KDY2
674,30000675,FYD-TO
675,30000676,ER2O-Y
676,30000677,J2-PZ6
677,30000678,XV-MWG
678,30000679,OAQY-M
679,30000680,1V-LI2
680,30000681,M9-MLR
681,30000682,Q-K2T7
682,30000683,LBC-AW
683,30000684,2-KPW6
684,30000685,H5N-V7
685,30000686,HQ-Q1Q
686,30000687,WHI-61
687,30000688,ZFJH-T
688,30000689,I-1B7X
689,30000690,G15Z-W
690,30000691,AH8-Q7
691,30000692,SD4A-2
692,30000693,U6K-RG
693,30000694,V-S9YY
694,30000695,F2-NXA
695,30000696,NSBE-L
696,30000697,8Q-T7B
697,30000698,WV0D-1
698,30000699,ZNF-OK
699,30000700,C8-7AS
700,30000701,4E-EZS
701,30000702,A-80UA
702,30000703,U2-28D
703,30000704,LQ-OAI
704,30000705,5-MQQ7
705,30000706,6-EQYE
706,30000707,03-OR2
707,30000708,JLO-Z3
708,30000709,IAK-JW
709,30000710,KZFV-4
710,30000711,WO-GC0
711,30000712,RYC-19
712,30000713,X2-ZA5
713,30000714,28Y9-P
714,30000715,Q4C-S5
715,30000716,B-1UJC
716,30000717,Q-NA5H
717,30000718,4-CM8I
718,30000719,ZDB-HT
719,30000720,1QZ-Y9
720,30000721,HJ-BCH
721,30000722,QPTT-F
722,30000723,9M-M0P
723,30000724,9BC-EB
724,30000725,WFFE-4
725,30000726,71-UTX
726,30000727,PU-UMM
727,30000728,6-KPAB
728,30000729,Y5-E1U
729,30000730,4-43BW
730,30000731,8CN-CH
731,30000732,V-F6DQ
732,30000733,3S-6VU
733,30000734,1-7HVI
734,30000735,OX-S7P
735,30000736,KDG-TA
736,30000737,KD-KPR
737,30000738,PT-21C
738,30000739,Z182-R
739,30000740,EKPB-3
740,30000741,5M2-KP
741,30000742,TK-DLH
742,30000743,C8H5-X
743,30000744,O-7LAI
744,30000745,7L3-JS
745,30000746,WF4C-8
746,30000747,TZN-2V
747,30000748,8EF-58
748,30000749,4DS-OI
749,30000750,XQP-9C
750,30000751,W-6GBI
751,30000752,XKH-6O
752,30000753,S0U-MO
753,30000754,F39H-1
754,30000755,V-QXXK
755,30000756,2-Q4YG
756,30000757,2JT-3Q
757,30000758,I3CR-F
758,30000759,7-JT09
759,30000760,AGCP-I
760,30000761,M4-GJ6
761,30000762,5-2PQU
762,30000763,SN9-3Z
763,30000764,6BJH-3
764,30000765,U-UTU9
765,30000766,1TG7-W
766,30000767,QYD-WK
767,30000768,R959-U
768,30000769,A-TJ0G
769,30000770,88A-RA
770,30000771,8G-2FP
771,30000772,C-J6MT
772,30000773,78-0R6
773,30000774,MSG-BZ
774,30000775,8-WYQZ
775,30000776,4M-QXK
776,30000777,X5-0EM
777,30000778,G-EURJ
778,30000779,SHBF-V
779,30000780,RERZ-L
780,30000781,0UBC-R
781,30000782,3U-48K
782,30000783,EFM-C4
783,30000784,YPW-M4
784,30000785,Q7-FZ8
785,30000786,L5-UWT
786,30000787,74-VZA
787,30000788,I-1QKL
788,30000789,GK5Z-T
789,30000790,RQN-OO
790,30000791,67Y-NR
791,30000792,GDHN-K
792,30000793,QTME-D
793,30000794,A24L-V
794,30000795,4CJ-AC
795,30000796,EUU-4N
796,30000797,Q-3HS5
797,30000798,3AE-CP
798,30000799,0-VG7A
799,30000800,9OLQ-6
800,30000801,MOCW-2
801,30000802,ZO-4AR
802,30000803,MJ-LGH
803,30000804,F2A-GX
804,30000805,RD-FWY
805,30000806,VBPT-T
806,30000807,KS-1TS
807,30000808,X0-6LH
808,30000809,FN0-QS
809,30000810,F3-8X2
810,30000811,N7-BIY
811,30000812,TTP-2B
812,30000813,LVL-GZ
813,30000814,EJ48-O
814,30000815,ROJ-B0
815,30000816,DFH-V5
816,30000817,B-II34
817,30000818,4LB-EL
818,30000819,UDE-FX
819,30000820,5IH-GL
820,30000821,C1G-XC
821,30000822,04-EHC
822,30000823,3-0FYP
823,30000824,N-O53U
824,30000825,HZ-O18
825,30000826,D-P1EH
826,30000827,74L2-U
827,30000828,HL-VZX
828,30000829,38NZ-1
829,30000830,W-MF6J
830,30000831,O-9G5Y
831,30000832,27-HP0
832,30000833,X1-IZ0
833,30000834,RZ-TI6
834,30000835,FX4L-2
835,30000836,1ZF-PJ
836,30000837,HFC-AQ
837,30000838,0-6VZ5
838,30000839,GB-6X5
839,30000840,7EX-14
840,30000841,N7-KGJ
841,30000842,VD-8QY
842,30000843,J-ZYSZ
843,30000844,5C-RPA
844,30000845,CR2-PQ
845,30000846,E-OGL4
846,30000847,J-GAMP
847,30000848,M-OEE8
848,30000849,V0DF-2
849,30000850,FY0W-N
850,30000851,MJI3-8
851,30000852,A-DDGY
852,30000853,F-RT6Q
853,30000854,B-S42H
854,30000855,NL6V-7
855,30000856,F-749O
856,30000857,0-YMBJ
857,30000858,UMI-KK
858,30000859,GKP-YT
859,30000860,AW1-2I
860,30000861,15W-GC
861,30000862,N-FK87
862,30000863,C2X-M5
863,30000864,MSHD-4
864,30000865,H-W9TY
865,30000866,PNDN-V
866,30000867,D7-ZAC
867,30000868,SH1-6P
868,30000869,TRKN-L
869,30000870,O-0ERG
870,30000871,WH-JCA
871,30000872,Q-CAB2
872,30000873,PBD-0G
873,30000874,L-1HKR
874,30000875,9GI-FB
875,30000876,3G-LHB
876,30000877,DBT-GB
877,30000878,U-W3WS
878,30000879,DL1C-E
879,30000880,YLS8-J
880,30000881,2ISU-Y
881,30000882,X-CFN6
882,30000883,9SL-K9
883,30000884,Y-PZHM
884,30000885,OY-UZ1
885,30000886,S8-NSQ
886,30000887,GIH-ZG
887,30000888,V7-FB4
888,30000889,XD-TOV
889,30000890,K-6SNI
890,30000891,L-VXTK
891,30000892,C8VC-S
892,30000893,W-UQA5
893,30000894,W6VP-Y
894,30000895,IMK-K1
895,30000896,NJ4X-S
896,30000897,F-G7BO
897,30000898,2CG-5V
898,30000899,QFF-O6
899,30000900,NIH-02
900,30000901,JPL-RA
901,30000902,NK-7XO
902,30000903,E02-IK
903,30000904,N-DQ0D
904,30000905,M-MD3B
905,30000906,FVXK-D
906,30000907,6EG7-R
907,30000908,56D-TC
908,30000909,2X7Z-L
909,30000910,8DL-CP
910,30000911,UMDQ-6
911,30000912,504Z-V
912,30000913,F8K-WQ
913,30000914,AB-FZE
914,30000915,N-6Z8B
915,30000916,YUY-LM
916,30000917,NE-3GR
917,30000918,Y4-GQV
918,30000919,7-IDWY
919,30000920,AZF-GH
920,30000921,UT-UZB
921,30000922,M-EKDF
922,30000923,CRXA-Y
923,30000924,VXO-OM
924,30000925,BY5-V8
925,30000926,TET3-B
926,30000927,VKU-BG
927,30000928,WPR-EI
928,30000929,0NV-YU
929,30000930,V-2GYS
930,30000931,168-6H
931,30000932,W-RFUO
932,30000933,AI-EVH
933,30000934,F-MKH3
934,30000935,ZM-DNR
935,30000936,GF-3FL
936,30000937,ZJ-GOU
937,30000938,QQ3-YI
938,30000939,9-34L5
939,30000940,0R-GZQ
940,30000941,QM-20X
941,30000942,8YC-AN
942,30000943,7Q-8Z2
943,30000944,SUR-F7
944,30000945,OK-6XN
945,30000946,Q2FL-T
946,30000947,Y7-XFD
947,30000948,U3K-4A
948,30000949,P1T-LP
949,30000950,R-ESG0
950,30000951,CI4M-T
951,30000952,I-QRJA
952,30000953,M-YWAL
953,30000954,DE71-9
954,30000955,7JF-0Z
955,30000956,IX8-JB
956,30000957,WTIE-6
957,30000958,Y-DSSK
958,30000959,F5-CGW
959,30000960,H9S-WC
960,30000961,B-ROFP
961,30000962,1L-AED
962,30000963,1C-953
963,30000964,SL-YBS
964,30000965,UNJ-GX
965,30000966,0PI4-E
966,30000967,6WT-BE
967,30000968,L1S-G1
968,30000969,9SNK-O
969,30000970,B-VIP9
970,30000971,LXTC-S
971,30000972,WE3-BX
972,30000973,H7O-JZ
973,30000974,H-8F5Q
974,30000975,O-RXCZ
975,30000976,4M-P1I
976,30000977,P7UZ-T
977,30000978,PUZ-IO
978,30000979,HB-1NJ
979,30000980,EOE3-N
980,30000981,F7A-MR
981,30000982,O-8SOC
982,30000983,OJOS-T
983,30000984,V89M-R
984,30000985,66U-1P
985,30000986,BRT-OP
986,30000987,JUK0-1
987,30000988,V-IH6B
988,30000989,52V6-B
989,30000990,PUC-JZ
990,30000991,SB-23C
991,30000992,5FCV-A
992,30000993,O-OVOQ
993,30000994,92-B0X
994,30000995,0-3VW8
995,30000996,28-QWU
996,30000997,UD-AOK
997,30000998,M9U-75
998,30000999,N-RAEL
999,30001000,K-IYNW
1000,30001001,H-ADOC
1001,30001002,G-G78S
1002,30001003,UW9B-F
1003,30001004,ZZ-ZWC
1004,30001005,OSY-UD
1005,30001006,K-MGJ7
1006,30001007,JWJ-P1
1007,30001008,V-IUEL
1008,30001009,0SHT-A
1009,30001010,D87E-A
1010,30001011,K-B2D3
1011,30001012,PO4F-3
1012,30001013,J7A-UR
1013,30001014,5E-VR8
1014,30001015,V7D-JD
1015,30001016,HLW-HP
1016,30001017,8G-MQV
1017,30001018,RA-NXN
1018,30001019,VOL-MI
1019,30001020,KLMT-W
1020,30001021,XX9-WV
1021,30001022,AAM-1A
1022,30001023,EW-JR5
1023,30001024,YKE4-3
1024,30001025,CL-85V
1025,30001026,K-QWHE
1026,30001027,MDD-79
1027,30001028,RMOC-W
1028,30001029,ES-UWY
1029,30001030,S1DP-Y
1030,30001031,Y-DW5K
1031,30001032,M-N7WD
1032,30001033,QFEW-K
1033,30001034,CVY-UC
1034,30001035,EQX-AE
1035,30001036,G-R4W1
1036,30001037,BPK-XK
1037,30001038,LJ-YSW
1038,30001039,Y-K50G
1039,30001040,K88X-J
1040,30001041,G-0Q86
1041,30001042,CL-1JE
1042,30001043,J4UD-J
1043,30001044,Hemin
1044,30001045,Utopia
1045,30001046,Jorund
1046,30001047,Doril
1047,30001048,Litom
1048,30001049,Farit
1049,30001050,Jamunda
1050,30001051,TD-4XL
1051,30001052,IBOX-2
1052,30001053,8AB-Q4
1053,30001054,VW-PXL
1054,30001055,JA-G0T
1055,30001056,IF-KD1
1056,30001057,7-YHRX
1057,30001058,Y6-9LF
1058,30001059,X-PQEX
1059,30001060,N-H95C
1060,30001061,NSI-MW
1061,30001062,N-YLOE
1062,30001063,NBO-O0
1063,30001064,F-TQWO
1064,30001065,0-TRV1
1065,30001066,13-49W
1066,30001067,6UT-1K
1067,30001068,O8W-5O
1068,30001069,LH-PLU
1069,30001070,AZA-QE
1070,30001071,8-2JZA
1071,30001072,ZT-L3S
1072,30001073,VVB-QH
1073,30001074,Z-DDVJ
1074,30001075,7-2Z93
1075,30001076,B-VFDD
1076,30001077,A0M-R8
1077,30001078,LY-WRW
1078,30001079,9F-ERQ
1079,30001080,QCGG-Q
1080,30001081,1NZV-7
1081,30001082,NIM-FY
1082,30001083,DAI-SH
1083,30001084,V3P-AZ
1084,30001085,C-KW6X
1085,30001086,X1W-AL
